**** BEGIN LOGGING AT Mon Nov  2 09:30:55 2015

Nov 02 09:30:55 *	Now talking on #signalssummitssuds
Nov 02 09:30:56 *	hitchcock.freenode.net sets mode +n #signalssummitssuds
Nov 02 09:30:56 *	hitchcock.freenode.net sets mode +s #signalssummitssuds
Nov 02 09:30:59 *	You are now known as swaite
Nov 02 09:30:59 -NickServ-	This nickname is registered. Please choose a different nickname, or identify via /msg NickServ identify <password>.
Nov 02 09:33:59 *	riel (~riel@74-92-59-68-NewEngland.hfc.comcastbusiness.net) has joined #signalssummitssuds
Nov 02 09:34:01 *	lon_T2 (lon@nat/redhat/x-dojihceygdxnqiky) has joined #signalssummitssuds
Nov 02 09:34:14 <swaite>	woo, 3 outa 5
Nov 02 09:34:24 *	lon_T2 is now known as lon
Nov 02 09:34:48 <riel>	lon: how was Hawaii?
Nov 02 09:35:19 <swaite>	I bet it was terrible, awful
Nov 02 09:36:40 <lon>	sucked.
Nov 02 09:36:54 <lon>	especially flying in to a 3000' deep crater in a helicopter.  That was awful.
Nov 02 09:36:56 <swaite>	knew it
Nov 02 09:37:14 <lon>	so was swimming with sea turtles, eels, and other strange fish
Nov 02 09:38:32 <swaite>	was Matt one of the other strange fish?
Nov 02 09:38:56 <lon>	yeah
Nov 02 09:39:02 <lon>	he got pictures of me underwater
Nov 02 09:41:59 *	dcantrell (dcantrell@nat/redhat/x-unvdtrlppomvheek) has joined #signalssummitssuds
Nov 02 09:42:02 <swaite>	neet
Nov 02 09:42:26 *	clumens (chris@nat/redhat/x-hhcpcormizwhbbxw) has joined #signalssummitssuds
Nov 02 09:42:34 <swaite>	huzzah!
Nov 02 09:42:36 <swaite>	gangs all here
Nov 02 09:42:45 <swaite>	so we're just going over the constitution and by-laws
Nov 02 09:42:52 <dcantrell>	and your text editor
Nov 02 09:42:55 <swaite>	https://github.com/clumens/signals_summits_suds
Nov 02 09:43:18 <swaite>	yeah, clumens was complaining about whitespace
Nov 02 09:43:29 <dcantrell>	what editor are you using?
Nov 02 09:43:36 <swaite>	vim
Nov 02 09:43:36 <dcantrell>	because it looks like it's leaking whitespace
Nov 02 09:43:51 <swaite>	for some reason my tabs didn't line up with the spacing there, so I used the evil spacebar
Nov 02 09:43:53 <lon>	hey, better than disk space - a la emacs, amirite?
Nov 02 09:43:53 <dcantrell>	vim is being too smart or too stupid
Nov 02 09:44:14 <swaite>	note that that is not an xor there
Nov 02 09:44:42 <clumens>	so i believe swaite is familiar with what all we need to do in this meeting.
Nov 02 09:44:59 <swaite>	first step is to make sure we're all happy with the documents as they stand
Nov 02 09:45:13 <swaite>	after we ratify them and all we technically need a vote to change anything
Nov 02 09:45:26 <clumens>	dcantrell had a comment about logging requirements, at least in person here he did.
Nov 02 09:45:28 <lon>	so, set up gerrithub for it or what?
Nov 02 09:45:32 <lon>	;]
Nov 02 09:45:49 <swaite>	sure
